,State,Gender,Specialty
191,CA,M,Orthopedic Surgery
192,IL,M,Physician Assistant
193,UT,M,Internal Medicine
194,WA,M,Emergency Medicine
195,MD,F,Dentist
196,MI,M,Cardiology
197,CT,F,Internal Medicine
198,CA,M,Maxillofacial Surgery
199,IL,F,Nurse Practitioner
200,NM,F,Certified Clinical Nurse Specialist
201,PR,F,General Practice
202,OH,M,Preventive Medicine
203,MN,F,Physician Assistant
204,TN,M,Infectious Disease
205,AR,M,Otolaryngology
206,TN,F,Student in an Organized Health Care Education/Training Program
207,IL,M,Family Practice
208,WI,M,Rheumatology
209,MI,F,Dermatology
210,TX,M,Dentist
211,CA,F,Neuropsychiatry
212,TX,M,Family Practice
213,CA,M,Dentist
214,OH,M,Physician Assistant
215,MD,F,Nurse Practitioner
216,PR,M,General Practice
217,NY,F,Physician Assistant
218,IN,F,Physical Medicine and Rehabilitation
219,IL,F,Physician Assistant
220,PA,M,Internal Medicine
221,CA,M,Allergy/Immunology
222,NY,M,General Surgery
223,SC,M,Ophthalmology
224,MN,M,Psychiatry
225,TX,M,Family Practice
226,OR,F,Family Practice
227,KY,M,Diagnostic Radiology
228,ME,M,Family Practice
229,RI,F,Pulmonary Disease
230,WY,M,Physician Assistant
231,NY,M,Hand Surgery
232,TX,M,Internal Medicine
233,WV,F,Emergency Medicine
234,CA,M,Ophthalmology
235,TN,M,Pulmonary Disease
236,NC,M,Family Practice
237,TX,M,Dentist
238,IN,M,Dentist
239,TX,M,Emergency Medicine
240,OH,M,Hospice and Palliative Care
241,IL,M,Emergency Medicine
242,VA,M,Orthopedic Surgery
243,AL,M,Family Practice
244,VA,M,Family Practice
245,RI,F,Nurse Practitioner
246,TX,M,Maxillofacial Surgery
247,WI,M,Cardiology
248,VA,F,Obstetrics/Gynecology
249,FL,M,Family Practice
250,AZ,M,Thoracic Surgery
251,TX,F,Family Practice
252,CA,M,Emergency Medicine
253,TX,M,Medical Oncology
254,CA,F,Hand Surgery
255,CA,M,Dentist
256,SC,M,Dentist
257,AK,M,Orthopedic Surgery
258,NY,M,Nephrology
259,AL,M,Plastic and Reconstructive Surgery
260,CA,F,Hematology/Oncology
261,TN,F,Allergy/Immunology
262,FL,F,Family Practice
263,CA,M,Family Practice
264,FL,F,General Practice
265,TN,F,Nurse Practitioner
266,PR,M,Dentist
267,MA,M,Internal Medicine
268,AR,M,Psychiatry
269,MA,M,Ophthalmology
270,OH,F,Family Practice
271,LA,M,Cardiac Electrophysiology
272,NY,F,Physician Assistant
273,PA,F,Nurse Practitioner
274,NC,M,Dentist
275,NH,M,Dentist
276,NC,F,Internal Medicine
277,IA,M,Obstetrics/Gynecology
278,CA,M,Dentist
279,CA,M,Family Practice
280,WA,F,Nurse Practitioner
281,CA,M,Colon & Rectal Surgery
282,CA,F,Internal Medicine
283,CT,F,Nurse Practitioner
284,IL,M,Internal Medicine
285,IN,M,Internal Medicine
286,CA,F,Obstetrics/Gynecology
287,IL,F,Otolaryngology
288,SC,M,Family Practice
289,OR,M,Physician Assistant
290,WI,M,Internal Medicine
291,CA,M,Pulmonary Disease
292,CA,M,Orthopedic Surgery
293,WI,M,Hospitalist
294,AL,M,Nurse Practitioner
295,GA,M,Internal Medicine
296,NY,F,General Practice
297,MD,M,Dentist
298,FL,M,Dentist
299,CA,M,Family Practice
300,OH,M,Dentist
301,SC,F,Nurse Practitioner
302,FL,M,Internal Medicine
303,NE,M,Family Practice
304,IL,M,Emergency Medicine
305,AR,F,Nurse Practitioner
306,GA,M,Urology
307,WI,F,Family Practice
308,PR,M,Dentist
309,OR,F,Nurse Practitioner
310,GA,M,Physician Assistant
311,IL,M,Urology
312,CA,M,Dentist
313,PA,M,Cardiology
314,IL,M,Dentist
315,NY,M,Internal Medicine
316,PA,M,Podiatry
317,ID,M,Internal Medicine
318,MN,F,Family Practice
319,FL,M,Dentist
320,NC,M,Dentist
321,AZ,M,Emergency Medicine
322,WA,M,Colorectal Surgery (formerly proctology)
323,MD,M,Internal Medicine
324,WA,F,Dentist
325,IL,F,Internal Medicine
326,NY,M,Family Practice
327,NY,M,Specialist
328,MI,M,Physician Assistant
329,NY,M,Internal Medicine
330,VA,F,Emergency Medicine
331,WI,M,Diagnostic Radiology
332,MI,M,Cardiology
333,FL,M,Internal Medicine
334,CA,F,Psychiatry
335,FL,M,Dentist
336,GA,F,Internal Medicine
337,FL,M,Internal Medicine
338,MD,M,Family Practice
339,OK,M,Internal Medicine
340,MI,M,Nephrology
341,MN,M,Internal Medicine
342,GA,F,Podiatry
343,PA,M,Cardiology
344,IN,M,Optometry
345,OK,F,Geriatric Medicine
346,NY,M,Family Practice
347,IL,M,Dentist
348,CO,M,Family Practice
349,AL,M,Orthopedic Surgery
350,LA,M,Internal Medicine
351,OR,M,Podiatry
352,ND,F,Nurse Practitioner
353,OH,M,Dentist
354,WI,M,Family Practice
355,TX,M,Ophthalmology
356,NY,M,Cardiology
357,MD,F,Optometry
358,IL,F,Podiatry
359,NJ,M,Cardiology
360,PR,M,Neurology
361,NJ,M,Family Practice
362,FL,M,Internal Medicine
363,OH,M,Internal Medicine
364,SC,F,Obstetrics/Gynecology
365,CA,F,Podiatry
366,MO,M,Obstetrics/Gynecology
367,FL,F,Obstetrics/Gynecology
368,MO,M,Dentist
369,LA,M,Family Practice
370,FL,M,Gynecological/Oncology
371,CA,M,Dentist
372,TN,F,Optometry
373,MD,M,Neurology
374,FL,M,Cardiology
375,TX,M,Dentist
376,WA,M,Internal Medicine
377,NY,M,Internal Medicine
378,PA,F,Nurse Practitioner
379,TN,M,Obstetrics/Gynecology
380,NJ,M,Podiatry
381,LA,M,Otolaryngology
382,NY,M,General Surgery
383,NY,F,Nurse Practitioner
384,PA,M,Internal Medicine
385,CA,F,Obstetrics/Gynecology
386,SC,M,Optometry
387,CT,M,Internal Medicine
388,CT,M,Hand Surgery
389,SC,M,Psychiatry
390,SC,M,Psychiatry
391,MA,M,General Surgery
392,WI,M,Dentist
393,MI,F,Dentist
394,NC,M,Anesthesiology
395,ME,F,Physician Assistant
396,VA,M,Neurosurgery
397,WA,M,Family Practice
398,MO,M,Obstetrics/Gynecology
399,TX,M,Internal Medicine
400,MO,F,Family Practice
401,TX,M,Family Practice
402,AR,M,Ophthalmology
403,TX,M,Internal Medicine
404,AZ,M,Dentist
405,TN,M,Family Practice
406,NY,F,Emergency Medicine
407,VT,F,Physician Assistant
408,OH,M,Internal Medicine
409,NH,F,Dentist
410,OH,M,Cardiology
411,SC,F,Dentist
412,IN,F,Optometry
413,OH,F,Certified Clinical Nurse Specialist
414,CA,M,Dentist
415,AZ,M,Psychiatry & Neurology
416,IL,M,Internal Medicine
417,NC,M,Hematology/Oncology
418,TX,M,Internal Medicine
419,CA,M,Family Practice
420,IL,M,Internal Medicine
421,ID,F,Nurse Practitioner
422,FL,F,Clinic/Center
423,ME,F,Family Practice
424,PA,F,Nurse Practitioner
425,CA,M,Family Practice
426,TX,M,Otolaryngology
427,HI,M,Internal Medicine
428,CA,M,Dentist
429,PA,F,Psychiatry
430,MA,F,Internal Medicine
431,AL,F,Nurse Practitioner
432,NH,M,Physician Assistant
433,CA,F,Nurse Practitioner
434,FL,F,Internal Medicine
435,ND,M,Family Practice
436,NY,M,Internal Medicine
437,NC,M,Pharmacist
438,OH,F,Internal Medicine
439,KS,M,Internal Medicine
440,FL,F,Nurse Practitioner
441,WA,F,Nurse Practitioner
442,TX,M,Family Practice
443,OR,M,General Surgery
444,VA,F,Rheumatology
445,MN,M,Family Practice
446,NY,F,Nurse Practitioner
447,NY,F,Nurse Practitioner
448,PA,M,Family Practice
449,MA,F,Nurse Practitioner
450,SC,F,Nurse Practitioner
451,OK,F,Nurse Practitioner
452,TN,F,Family Practice
453,PR,M,Internal Medicine
454,IN,M,Cardiology
455,TX,M,Cardiology
456,VA,M,Internal Medicine
457,IL,M,Family Practice
458,AL,M,Obstetrics/Gynecology
459,PA,F,Podiatry
460,NY,F,Physician Assistant
461,MD,F,Nurse Practitioner
462,WA,M,Oral Surgery (dentists only)
463,GA,M,Interventional Pain Management
464,IA,F,Physical Medicine and Rehabilitation
465,MN,F,Nurse Practitioner
466,HI,M,Internal Medicine
467,CT,F,Certified Clinical Nurse Specialist
468,NY,F,Nurse Practitioner
469,PA,F,Psychiatry & Neurology
470,CA,F,Dentist
471,VA,M,Plastic and Reconstructive Surgery
472,CA,M,Physician Assistant
473,AZ,M,Dentist
474,TX,M,Orthopedic Surgery
475,NY,M,Internal Medicine
476,PA,F,Physician Assistant
477,NY,M,Pulmonary Disease
478,TX,M,Dentist
479,CA,M,Dermatology
480,WA,M,Cardiology
481,MS,M,Cardiology
482,VT,M,Ophthalmology
483,MS,M,General Surgery
484,CA,M,Internal Medicine
485,IL,F,Internal Medicine
486,NC,F,Nurse Practitioner
487,NY,M,Family Practice
488,TX,M,Psychiatry & Neurology
489,IL,M,Orthopaedic Surgery
490,OH,M,Family Practice
491,OH,F,Nurse Practitioner
492,CA,M,Physical Medicine and Rehabilitation
493,NJ,M,Nephrology
494,TX,M,Neurology
495,NY,M,Internal Medicine
496,NE,M,Dentist
497,CA,M,Internal Medicine
498,VA,M,Internal Medicine
499,IL,F,Internal Medicine
500,PA,M,Podiatry
501,MS,M,Anesthesiology
502,CA,M,Ophthalmology
503,MO,M,Dentist
504,ME,F,Physician Assistant
505,ID,M,Urology
506,NY,M,Podiatry
507,WA,F,Family Practice
508,FL,M,Geriatric Medicine
509,MO,M,Otolaryngology
510,CA,F,Family Practice
511,WA,F,Nurse Practitioner
512,MO,F,Dermatology
513,NY,F,Internal Medicine
514,AZ,M,Dentist
515,CO,F,Physician Assistant
516,VT,F,Physical Therapist
517,PA,M,Family Practice
518,PA,M,Dermatology
519,FL,M,Emergency Medicine
520,MN,F,Nurse Practitioner
521,PA,F,Psychiatry
522,CA,M,Dentist
523,PA,F,Podiatry
524,NY,M,Neuropsychiatry
525,IN,F,Obstetrics/Gynecology
526,WA,F,Obstetrics/Gynecology
527,GA,M,Oral Surgery (dentists only)
528,NJ,M,Plastic and Reconstructive Surgery
529,NY,M,Emergency Medicine
530,TX,F,Physician Assistant
531,MA,M,Oral Surgery (dentists only)
532,MA,M,Family Practice
533,TX,M,Family Practice
534,TX,F,Family Practice
535,SC,M,Family Practice
536,PR,M,Psychologist
537,PA,M,Dentist
538,LA,M,Orthopedic Surgery
539,OH,F,Psychiatry
540,LA,M,Hematology/Oncology
541,WI,M,Dentist
542,WI,M,Family Practice
543,WI,F,Nurse Practitioner
544,NY,F,Nurse Practitioner
545,LA,M,Internal Medicine
546,WA,F,Family Practice
547,OH,M,Internal Medicine
548,MI,M,Optometry
549,NY,M,Family Practice
550,CA,M,Dentist
551,TN,M,Maxillofacial Surgery
552,MO,M,Dentist
553,NC,M,Internal Medicine
554,PA,F,Internal Medicine
555,TX,M,Family Practice
556,CO,F,Family Practice
557,TX,M,Dentist
558,FL,M,Neurosurgery
559,FL,M,Psychiatry
560,MA,F,Nurse Practitioner
561,NJ,F,Obstetrics/Gynecology
562,MD,F,Emergency Medicine
563,TX,M,Internal Medicine
564,CA,M,Internal Medicine
565,PA,M,Optometry
566,MI,F,Physician Assistant
567,WA,M,Pharmacist
568,CA,M,Obstetrics/Gynecology
569,WV,M,Dentist
570,MA,F,Physician Assistant
571,GA,M,Obstetrics/Gynecology
572,AZ,M,Gastroenterology
573,AZ,F,Internal Medicine
574,GA,M,Physician Assistant
575,CA,M,Ophthalmology
576,TX,M,Dentist
577,TX,F,Internal Medicine
578,AL,M,Cardiology
579,DC,F,Student in an Organized Health Care Education/Training Program
580,MA,F,Nurse Practitioner
581,CA,M,Pulmonary Disease
582,NY,F,Internal Medicine
583,CT,F,Nurse Practitioner
584,CA,F,Psychiatry & Neurology
585,VA,M,Podiatry
586,MA,F,Certified Clinical Nurse Specialist
587,NC,F,Nurse Practitioner
588,AL,F,Neurology
589,IL,M,Physician Assistant
590,TX,F,Obstetrics/Gynecology
591,VA,M,Family Practice
592,AK,F,Optometry
593,CA,F,Dentist
594,WA,M,Radiation Oncology
595,UT,M,Dentist
596,AL,M,Internal Medicine
597,IL,M,Colorectal Surgery (formerly proctology)
598,GA,M,Internal Medicine
599,PA,F,Psychiatry
600,MO,M,Student in an Organized Health Care Education/Training Program
601,OH,M,Physician Assistant
602,TX,F,Dermatology
603,MS,M,Family Practice
604,CA,M,Dentist
605,MI,M,Family Practice
606,CA,M,Dentist
607,WI,M,Obstetrics/Gynecology
608,NC,M,Optometry
609,CA,M,Internal Medicine
610,CA,M,Family Practice
611,CA,F,Obstetrics/Gynecology
612,SC,F,Family Practice
613,CA,M,Orthopedic Surgery
614,CA,M,Cardiology
615,TX,M,Gastroenterology
616,SC,M,Otolaryngology
617,IL,M,Family Practice
618,OR,F,Family Practice
619,LA,F,Nurse Practitioner
620,KY,M,Family Practice
621,FL,M,Family Practice
622,FL,F,Specialist
623,GA,M,Gastroenterology
624,AZ,F,Physician Assistant
625,MI,M,Emergency Medicine
626,NJ,F,Family Practice
627,PA,M,Orthopedic Surgery
628,IN,M,Dentist
629,MA,M,Urology
630,WA,F,Internal Medicine
631,OH,M,Family Practice
632,CA,M,Family Practice
633,NC,M,Optometry
634,IL,F,Internal Medicine
635,IL,F,Internal Medicine
636,NY,M,Podiatry
637,OH,M,Physician Assistant
638,WA,M,Neurology
639,CA,F,Physician Assistant
640,MS,M,Optometry
641,PA,F,Family Practice
642,TX,F,Psychiatry
643,AZ,M,Podiatry
644,OH,F,Family Practice
645,NY,F,Internal Medicine
646,FL,M,Family Practice
647,CT,F,Nurse Practitioner
648,CA,M,Family Practice
649,WA,F,Hematology/Oncology
650,FL,M,Otolaryngology
651,DC,M,Endocrinology
652,LA,M,Interventional Pain Management
653,CA,F,Internal Medicine
654,AZ,M,Internal Medicine
655,MD,F,Nurse Practitioner
656,ID,M,Family Practice
657,HI,M,Internal Medicine
658,AR,M,Gastroenterology
659,DE,M,Dentist
660,CA,F,Specialist
661,NY,F,Obstetrics/Gynecology
662,CT,F,Nurse Practitioner
663,SC,M,Urology
664,FL,M,Orthopedic Surgery
665,OK,M,Gastroenterology
666,MI,M,Neurology
667,CO,F,Physician Assistant
668,KS,M,Family Practice
669,WV,F,Nurse Practitioner
670,CA,M,Family Practice
671,CA,M,Family Practice
672,AL,M,Family Practice
673,AL,M,Nephrology
674,AZ,F,Internal Medicine
675,MI,M,General Surgery
676,CT,F,Gastroenterology
677,NY,F,Obstetrics/Gynecology
678,CA,M,Dentist
679,TX,M,Nephrology
680,NC,M,Podiatry
681,UT,M,Dentist
682,CA,M,Dentist
683,AL,M,Dentist
684,TX,M,Optometry
685,GA,F,Nurse Practitioner
686,NJ,M,Internal Medicine
687,IL,M,Internal Medicine
688,FL,F,Dermatology
689,NY,F,Family Practice
690,NM,M,Dentist
691,IN,F,Optometry
692,IN,M,Family Practice
693,MN,F,Psychiatry & Neurology
694,CA,M,Podiatry
695,NJ,M,Dermatology
696,OH,M,Otolaryngology
697,MI,F,Nurse Practitioner
698,CA,F,Physician Assistant
699,SC,M,Family Practice
700,IL,F,Psychiatry & Neurology
701,NY,M,Internal Medicine
702,NJ,M,Hematology/Oncology
703,AZ,M,Ophthalmology
704,DE,M,Cardiology
705,OR,M,Ophthalmology
706,NY,M,Dentist
707,MD,F,Nurse Practitioner
708,FL,M,Ophthalmology
709,NV,M,Ophthalmology
710,PA,F,Physician Assistant
711,TN,F,Nurse Practitioner
712,FL,F,Family Practice
713,NE,M,Family Practice
714,MA,F,General Surgery
715,MD,M,Dentist
716,MI,M,Family Practice
717,AZ,F,Dentist
718,PA,M,Emergency Medicine
719,TX,M,Family Practice
720,VA,M,Dentist
721,FL,F,Family Practice
722,FL,M,Internal Medicine
723,NC,M,Pediatric Medicine
724,NC,F,Endocrinology
725,TX,F,Dentist
726,NC,F,Nurse Practitioner
727,LA,F,Nurse Practitioner
728,CA,F,Student in an Organized Health Care Education/Training Program
729,NY,M,Orthopedic Surgery
730,TN,M,Obstetrics/Gynecology
731,ME,M,Psychiatry
732,IL,M,Family Practice
733,CA,F,Dentist
734,CO,F,Physician Assistant
735,MO,M,Student in an Organized Health Care Education/Training Program
736,CA,M,Critical Care (Intensivists)
737,MD,M,Critical Care (Intensivists)
738,PA,M,Internal Medicine
739,PA,M,Optometry
740,CA,M,Dentist
741,AL,M,Hand Surgery
742,NY,M,Physical Medicine and Rehabilitation
743,CA,M,Orthopedic Surgery
744,NY,F,Nurse Practitioner
745,CA,F,Nurse Practitioner
746,MA,F,Certified Clinical Nurse Specialist
747,MS,M,Anesthesiology
748,CT,F,Physician Assistant
749,NY,M,Family Practice
750,MA,F,Nurse Practitioner
751,TN,M,Internal Medicine
752,TX,M,Ophthalmology
753,TN,F,Physician Assistant
754,MD,F,Nurse Practitioner
755,SC,M,Internal Medicine
756,NY,M,Physician Assistant
757,CA,F,Physician Assistant
758,CO,F,Physician Assistant
759,PR,M,General Practice
760,NM,F,Cardiology
761,NM,F,Obstetrics/Gynecology
762,OH,M,Optometry
763,CA,M,Emergency Medicine
764,PA,M,Podiatry
765,MO,M,Emergency Medicine
766,IL,F,Nurse Practitioner
767,SC,M,Optometry
768,IL,M,Otolaryngology
769,WI,M,General Surgery
770,NC,M,Internal Medicine
771,CA,M,Family Practice
772,NJ,F,Nurse Practitioner
773,GA,M,Family Practice
774,IL,F,Physician Assistant
775,AR,M,Plastic and Reconstructive Surgery
776,FL,F,Physician Assistant
777,FL,M,Internal Medicine
778,OK,F,Certified Clinical Nurse Specialist
779,AL,F,Nurse Practitioner
780,MD,M,Physician Assistant
781,PA,M,Family Practice
782,NC,M,Radiation Oncology
783,WI,M,Family Practice
784,MO,M,Podiatry
785,TX,M,Emergency Medicine
786,TX,M,Physician Assistant
787,CA,M,Nephrology
788,CT,F,Physician Assistant
789,VA,M,Orthopedic Surgery
790,AZ,F,Physician Assistant
791,FL,M,Nurse Practitioner
792,DC,F,Student in an Organized Health Care Education/Training Program
793,VA,M,General Surgery
794,NY,M,Physician Assistant
795,CA,M,Ophthalmology
796,CA,M,Physician Assistant
797,IL,M,Internal Medicine
798,NY,M,Dentist
799,CO,F,Nurse Practitioner
800,TX,M,Cardiology
801,IN,M,Internal Medicine
802,GA,F,Physician Assistant
803,CA,M,Urology
804,WA,M,Internal Medicine
805,GA,F,Family Practice
806,LA,F,Dentist
807,MN,M,Dentist
808,SC,M,Urology
809,NY,F,Neurology
810,FL,M,Internal Medicine
811,HI,F,Internal Medicine
812,CA,M,Allergy/Immunology
813,MO,M,Maxillofacial Surgery
814,AZ,M,Vascular Surgery
815,OK,M,Student in an Organized Health Care Education/Training Program
816,MI,M,Emergency Medicine
817,CA,M,Obstetrics/Gynecology
818,AR,M,Optometry
819,MA,M,Psychiatry & Neurology
820,NJ,M,Internal Medicine
821,CA,F,Dentist
822,OR,F,Nurse Practitioner
823,VA,F,Nurse Practitioner
824,CA,M,Family Practice
825,IL,F,Family Practice
826,NY,M,Internal Medicine
827,MI,F,Dentist
828,CA,M,Internal Medicine
829,AL,F,General Surgery
830,OH,M,Orthopedic Surgery
831,MN,M,Family Practice
832,WI,F,Nurse Practitioner
833,IL,M,Internal Medicine
834,KY,M,Emergency Medicine
835,MD,M,Dermatology
836,PA,M,Ophthalmology
837,MI,M,Internal Medicine
838,MI,F,Hematology/Oncology
839,CA,M,Ophthalmology
840,VA,F,Family Practice
841,CA,M,Emergency Medicine
842,MI,M,Dentist
843,PA,F,Family Practice
844,NY,F,Oral Surgery (dentists only)
845,AR,M,Family Practice
846,MI,M,Pulmonary Disease
847,VA,F,Anesthesiology
848,NY,M,Gastroenterology
849,CA,F,Optometry
850,CA,F,Hematology/Oncology
851,SD,M,Family Practice
852,RI,F,Internal Medicine
853,CA,M,Nephrology
854,WV,M,Family Practice
855,MA,M,Colorectal Surgery (formerly proctology)
856,CA,M,Student in an Organized Health Care Education/Training Program
857,VA,M,Family Practice
858,CA,M,Internal Medicine
859,AR,M,Family Practice
860,NC,M,Internal Medicine
861,TX,M,Nephrology
862,NY,F,Internal Medicine
863,FL,M,Psychiatry
864,MI,F,Internal Medicine
865,NC,F,Physician Assistant
866,AR,M,Optometry
867,NV,F,Infectious Disease
868,OH,M,Internal Medicine
869,MD,M,Nephrology
870,TX,M,Emergency Medicine
871,TX,M,Urology
872,CA,M,Family Medicine
873,FL,F,Family Practice
874,IA,F,Nurse Practitioner
875,CA,M,Internal Medicine
876,CO,M,Physician Assistant
877,NY,M,Dentist
878,CA,M,Psychiatry
879,OH,F,Internal Medicine
880,MO,M,Family Practice
881,PA,F,Nurse Practitioner
882,CA,M,Dentist
883,CT,M,Dentist
884,KY,F,Nurse Practitioner
885,NV,M,Anesthesiology
886,AL,F,Gastroenterology
887,FL,F,Family Practice
888,PA,F,Psychiatry
889,TX,F,Optometry
890,IN,M,Family Practice
891,CA,M,Allergy/Immunology
892,HI,F,Infectious Disease
893,VA,F,Podiatry
894,MA,M,Nephrology
895,NC,F,Physician Assistant
896,NE,F,Nurse Practitioner
897,NY,M,Internal Medicine
898,FL,M,Physician Assistant
899,NY,M,Dentist
900,MO,F,Emergency Medicine
901,NY,F,Internal Medicine
902,IL,F,Internal Medicine
903,NY,M,Emergency Medicine
904,IL,M,Internal Medicine
905,CA,F,Internal Medicine
906,CA,M,Physician Assistant
907,WI,F,Nurse Practitioner
908,OH,M,Internal Medicine
909,FL,M,Internal Medicine
910,VA,M,General Surgery
911,TN,M,Obstetrics/Gynecology
912,NY,M,Obstetrics/Gynecology
913,CA,F,Internal Medicine
914,CA,M,Urology
915,NC,M,Ophthalmology
916,NY,F,Family Practice
917,MI,M,Dentist
918,PA,F,Internal Medicine
919,NJ,M,Internal Medicine
920,MD,M,Orthopedic Surgery
921,FL,M,Cardiology
922,PA,M,General Surgery
923,SC,F,Internal Medicine
924,LA,M,Obstetrics/Gynecology
925,CA,M,General Surgery
926,CA,F,Dentist
927,KY,M,Nurse Practitioner
928,OH,F,Nurse Practitioner
929,SC,M,Urology
930,NM,F,Hematology/Oncology
